IDX__global,IDX__step,IDX__sub_step,TARG__EM_price,FUTU__EM_load_f,FUTU__EM_solar_f,FUTU__EM_wind_f,CONST__wd_sin,CONST__wd_cos,CONST__mnth_sin,CONST__mnth_cos,CONST__yd_sin,CONST__yd_cos,Hour,Date
5,0,5,43.93,4282.0,0.0,204.0,-0.974928,-0.222521,0.5,0.866025,0.05162,0.998667,5,2015-01-03
29,1,5,35.5,4304.0,0.0,193.0,-0.781831,0.62349,0.5,0.866025,0.068802,0.99763,5,2015-01-04
53,2,5,47.49,4388.0,0.0,318.0,0.0,1.0,0.5,0.866025,0.085965,0.996298,5,2015-01-05
77,3,5,40.0,4579.0,0.0,206.0,0.781831,0.62349,0.5,0.866025,0.103102,0.994671,5,2015-01-06
101,4,5,51.12,4671.0,0.0,356.0,0.974928,-0.222521,0.5,0.866025,0.120208,0.992749,5,2015-01-07
125,5,5,57.59,4895.0,0.0,177.0,0.433884,-0.900969,0.5,0.866025,0.137279,0.990532,5,2015-01-08
149,6,5,50.6,4970.0,0.0,1103.0,-0.433884,-0.900969,0.5,0.866025,0.154309,0.988023,5,2015-01-09
173,7,5,45.0,4568.0,0.0,714.0,-0.974928,-0.222521,0.5,0.866025,0.171293,0.98522,5,2015-01-10
197,8,5,37.0,4274.0,0.0,723.0,-0.781831,0.62349,0.5,0.866025,0.188227,0.982126,5,2015-01-11
221,9,5,43.05,4615.0,0.0,941.0,0.0,1.0,0.5,0.866025,0.205104,0.97874,5,2015-01-12
245,10,5,40.0,4864.0,0.0,1619.0,0.781831,0.62349,0.5,0.866025,0.221922,0.975065,5,2015-01-13
269,11,5,46.83,4988.0,0.0,450.0,0.974928,-0.222521,0.5,0.866025,0.238673,0.9711,5,2015-01-14
293,12,5,33.0,4826.0,0.0,2785.0,0.433884,-0.900969,0.5,0.866025,0.255353,0.966848,5,2015-01-15
317,13,5,35.0,4932.0,0.0,2276.0,-0.433884,-0.900969,0.5,0.866025,0.271958,0.962309,5,2015-01-16
341,14,5,34.0,4854.0,0.0,714.0,-0.974928,-0.222521,0.5,0.866025,0.288482,0.957485,5,2015-01-17
365,15,5,27.25,4493.0,0.0,2563.0,-0.781831,0.62349,0.5,0.866025,0.304921,0.952378,5,2015-01-18
389,16,5,31.17,4695.0,0.0,3622.0,0.0,1.0,0.5,0.866025,0.32127,0.946988,5,2015-01-19
413,17,5,42.02,4833.0,0.0,819.0,0.781831,0.62349,0.5,0.866025,0.337523,0.941317,5,2015-01-20
437,18,5,42.88,4871.0,0.0,2074.0,0.974928,-0.222521,0.5,0.866025,0.353676,0.935368,5,2015-01-21
461,19,5,33.33,5019.0,0.0,3100.0,0.433884,-0.900969,0.5,0.866025,0.369725,0.929141,5,2015-01-22
485,20,5,38.0,4970.0,0.0,978.0,-0.433884,-0.900969,0.5,0.866025,0.385663,0.92264,5,2015-01-23
509,21,5,35.0,4909.0,0.0,729.0,-0.974928,-0.222521,0.5,0.866025,0.401488,0.915864,5,2015-01-24
533,22,5,28.13,4490.0,0.0,1162.0,-0.781831,0.62349,0.5,0.866025,0.417194,0.908818,5,2015-01-25
557,23,5,36.99,4610.0,0.0,936.0,0.0,1.0,0.5,0.866025,0.432776,0.901502,5,2015-01-26
581,24,5,40.1,4962.0,0.0,1185.0,0.781831,0.62349,0.5,0.866025,0.448229,0.893919,5,2015-01-27
605,25,5,40.1,4938.0,0.0,1120.0,0.974928,-0.222521,0.5,0.866025,0.46355,0.886071,5,2015-01-28
629,26,5,38.5,4918.0,0.0,2085.0,0.433884,-0.900969,0.5,0.866025,0.478734,0.87796,5,2015-01-29
653,27,5,7.04,4897.0,0.0,3956.0,-0.433884,-0.900969,0.5,0.866025,0.493776,0.869589,5,2015-01-30
677,28,5,12.42,4757.0,0.0,3860.0,-0.974928,-0.222521,0.5,0.866025,0.508671,0.860961,5,2015-01-31
701,29,5,4.8,4321.0,0.0,2606.0,-0.781831,0.62349,0.866025,0.5,0.523416,0.852078,5,2015-02-01
725,30,5,30.5,4614.0,0.0,2527.0,0.0,1.0,0.866025,0.5,0.538005,0.842942,5,2015-02-02
749,31,5,20.0,4934.0,0.0,3257.0,0.781831,0.62349,0.866025,0.5,0.552435,0.833556,5,2015-02-03
773,32,5,24.6,4945.0,0.0,2627.0,0.974928,-0.222521,0.866025,0.5,0.566702,0.823923,5,2015-02-04
797,33,5,25.0,4932.0,0.0,2291.0,0.433884,-0.900969,0.866025,0.5,0.5808,0.814046,5,2015-02-05
821,34,5,30.15,4818.0,0.0,1640.0,-0.433884,-0.900969,0.866025,0.5,0.594727,0.803928,5,2015-02-06
845,35,5,43.94,4762.0,0.0,1323.0,-0.974928,-0.222521,0.866025,0.5,0.608477,0.793572,5,2015-02-07
869,36,5,40.13,4703.0,0.0,2144.0,-0.781831,0.62349,0.866025,0.5,0.622047,0.78298,5,2015-02-08
893,37,5,26.83,4640.0,0.0,3324.0,0.0,1.0,0.866025,0.5,0.635432,0.772157,5,2015-02-09
917,38,5,43.94,4908.0,0.0,2208.0,0.781831,0.62349,0.866025,0.5,0.64863,0.761104,5,2015-02-10
941,39,5,44.3,4923.0,0.0,677.0,0.974928,-0.222521,0.866025,0.5,0.661635,0.749826,5,2015-02-11
965,40,5,47.9,4805.0,0.0,231.0,0.433884,-0.900969,0.866025,0.5,0.674444,0.738326,5,2015-02-12
989,41,5,41.71,5007.0,0.0,782.0,-0.433884,-0.900969,0.866025,0.5,0.687053,0.726608,5,2015-02-13
